"","year","mun","trat","pto","rs","value","q_minwages"
"190",2004,"Churintzio",0,0,"rs_w1",13,1
"191",2004,"Numaran",0,0,"rs_w1",82,1
"192",2004,"Tangancicuaro",1,0,"rs_w1",695,1
"193",2004,"Purepero",1,0,"rs_w1",856,1
"194",2004,"Tlazazalca",0,0,"rs_w1",32,1
"195",2004,"Cojumatlan de Regules",0,0,"rs_w1",0,1
"196",2004,"Chavinda",0,0,"rs_w1",76,1
"197",2004,"Tangamandapio",1,0,"rs_w1",204,1
"198",2004,"Yurecuaro",0,0,"rs_w1",239,1
"199",2004,"Ecuandureo",0,0,"rs_w1",67,1
"200",2004,"Villamar",0,0,"rs_w1",41,1
"201",2004,"Ixtlan",0,0,"rs_w1",177,1
"202",2004,"Marcos Castellanos",0,0,"rs_w1",111,1
"203",2004,"Hidalgo",1,0,"rs_w1",450,1
"204",2004,"Jungapeo",1,0,"rs_w1",7,1
"205",2004,"Zitacuaro",1,0,"rs_w1",996,1
"206",2004,"Angangueo",0,0,"rs_w1",30,1
"207",2004,"Tlalpujahua",0,0,"rs_w1",227,1
"208",2004,"Ocampo",1,0,"rs_w1",20,1
"209",2004,"Maravatio",0,0,"rs_w1",219,1
"210",2004,"Contepec",0,0,"rs_w1",68,1
"211",2004,"Huetamo",0,0,"rs_w1",191,1
"212",2004,"San Lucas",0,0,"rs_w1",75,1
"213",2004,"Irimbo",0,0,"rs_w1",10,1
"214",2004,"Aporo",0,0,"rs_w1",16,1
"215",2004,"Tuxpan",1,0,"rs_w1",324,1
"216",2004,"Senguio",0,0,"rs_w1",12,1
"217",2004,"Tiquicheo",0,0,"rs_w1",2,1
"218",2004,"Tuzantla",0,0,"rs_w1",6,1
"219",2004,"Juarez",1,0,"rs_w1",1,1
"220",2004,"Lazaro Cardenas",0,0,"rs_w1",2761,1
"221",2005,"Coahuayana",0,0,"rs_w1",28,1
"222",2005,"Aquila",0,0,"rs_w1",0,1
"223",2005,"Morelia",0,0,"rs_w1",18205,1
"224",2005,"Nocupetaro",0,0,"rs_w1",0,1
