"","gini","year","cve","mun_name","pto","trat_2","date"
"162",0.382831780909163,2003,"N97","Tlalpujahua",0,0,2003-02-01
"163",0.372799500348594,2003,"O21","Tepalcatepec",0,0,2003-02-01
"164",0.378168782477143,2003,"O22","Buenavista",0,0,2003-02-01
"165",0.222599469496021,2003,"O23","Pajacuaran",0,0,2003-02-01
"166",0.431624940954181,2003,"O24","Zinapecuaro",0,1,2003-02-01
"167",0.222670431625655,2003,"O25","Querendaro",0,0,2003-02-01
"168",0.195547945205479,2003,"O26","Indaparapeo",0,0,2003-02-01
"169",0.238517642420658,2003,"O27","Ocampo",0,1,2003-02-01
"170",0.376060345052593,2003,"O28","Vista Hermosa",0,0,2003-02-01
"171",0.31875,2003,"O29","Tanhuato",0,0,2003-02-01
"172",0.251891992899187,2003,"O30","Brisenas",0,0,2003-02-01
"173",0,2003,"O31","Zinaparo",0,0,2003-02-01
"174",0.302376122862938,2003,"O32","Churintzio",0,0,2003-02-01
"175",0.362259546368073,2003,"O33","Numaran",0,0,2003-02-01
"176",0.360898302780636,2003,"O34","Maravatio",0,0,2003-02-01
"177",0.386779140142369,2003,"O35","Contepec",0,0,2003-02-01
"178",0.40996190563613,2003,"O36","Huetamo",0,0,2003-02-01
"179",0.269378031140985,2003,"O37","San Lucas",0,0,2003-02-01
"180",0.342128178335075,2003,"O39","Tangancicuaro",0,1,2003-02-01
"181",0.348361299830217,2003,"O40","Purepero",0,1,2003-02-01
"182",0.236842105263158,2003,"O41","Tlazazalca",0,0,2003-02-01
"183",0.438311688311688,2003,"O43","Cojumatlan de Regules",0,0,2003-02-01
"184",0.220307692307692,2003,"O44","Irimbo",0,0,2003-02-01
"185",0.158730158730159,2003,"O45","Aporo",0,0,2003-02-01
"186",0.389912987431518,2003,"O46","Tuxpan",0,1,2003-02-01
"187",0.17741935483871,2003,"O47","Senguio",0,0,2003-02-01
"188",0.188942307692308,2003,"O48","Charo",0,0,2003-02-01
"189",0.456818026162592,2003,"O49","Alvaro Obregon",0,0,2003-02-01
"190",0.332151898734177,2003,"O50","Chavinda",0,0,2003-02-01
"191",0.281037697096091,2003,"O51","Tangamandapio",0,1,2003-02-01
"192",0.441031941031941,2003,"O52","Ziracuaretiro",0,1,2003-02-01
"193",0.300792588176656,2003,"O53","Nuevo Parangaricutiro",0,1,2003-02-01
"194",0.257928388746803,2003,"O54","Coeneo",0,0,2003-02-01
"195",0.354635935044526,2003,"O55","Jimenez",0,0,2003-02-01
"196",0.344073359667122,2003,"O56","Yurecuaro",0,0,2003-02-01
"197",0.17071791972866,2003,"O59","Nahuatzen",0,0,2003-02-01
"198",0.223489278752437,2003,"O60","Ecuandureo",0,0,2003-02-01
"199",0.35388252409529,2003,"O62","Villamar",0,0,2003-02-01
"200",0.35477791095593,2003,"O63","Coalcoman",0,0,2003-02-01
"201",0.12952380952381,2003,"O64","Tiquicheo",0,0,2003-02-01
"202",0.25,2003,"O65","Tumbiscatio",0,0,2003-02-01
"203",0.36065105653912,2003,"O66","Tuzantla",0,0,2003-02-01
"204",0.185077519379845,2003,"O67","Aguililla",0,0,2003-02-01
"205",0.246315789473684,2003,"O68","Huaniqueo",0,0,2003-02-01
"206",0.274852071005917,2003,"O69","Ixtlan",0,0,2003-02-01
"207",0.281298210706922,2003,"O70","Tancitaro",0,1,2003-02-01
"208",0,2003,"O71","Caracuaro",0,0,2003-02-01
"209",0.430417479637028,2003,"O72","Cuitzeo",0,0,2003-02-01
"210",0,2003,"O73","Chucandiro",0,0,2003-02-01
"211",0.293269230769231,2003,"O74","Santa Ana Maya",0,0,2003-02-01
"212",0.248636129696346,2003,"O75","Huandacareo",0,0,2003-02-01
"213",0.0833333333333333,2003,"O76","Copandaro",0,0,2003-02-01
"214",0.125,2003,"O77","Tzitzio",0,0,2003-02-01
"215",0.2725,2003,"O78","Marcos Castellanos",0,0,2003-02-01
"216",0.166844919786096,2003,"O79","Juarez",0,1,2003-02-01
"217",0.392809020636834,2003,"O81","Coahuayana",0,0,2003-02-01
"218",0.407349458728011,2003,"O82","Aquila",0,0,2003-02-01
"219",0.441564980758157,2003,"C75","Apatzingan",0,1,2003-03-01
"220",0.335533216783217,2003,"C76","Arteaga",0,0,2003-03-01
"221",0.394228126431516,2003,"C77","Cotija",0,1,2003-03-01
"222",0.17003367003367,2003,"C78","Charapan",0,0,2003-03-01
"223",0.229300729300729,2003,"C79","Cheran",0,0,2003-03-01
"224",0.300199600798403,2003,"C80","Chilchota",0,1,2003-03-01
